CBS,Naam,Prov,vest,bo31,bo31hk,bo3_nw,doelgroep,ephh,groei_jong,groei_llvo,kernen500,lidr_w_nw,inwo,inw75+dr,wad1,wad3,wad2,jong,kernen,LOdr,ll_so,ll_vo,loonksub,nwmigr,cf.landelijk,cf.lokaal,cf.regionaal,oeverdhbftot,oeverbftot,oadw,goab,opbebnk,opbebnkbfnk,opbebk,opbebkbfk,biwa,buiwamax,histk40,histk65,histk4164,landbftot,land,WOZnwe70,WOZnwg70,WOZwe80,vast nieuw,Amsterdam,Den Haag,Rotterdam,woonr,woonrbfk
1979,Eemsdelta,1,4.237.41,2.847.00,2.216.00,1.473.28,474.87,8.195.66,0.00,0.00,5.00,5.636.29,45.542.36,2.475.28,0.00,0.00,0.00,7.765.76,26.00,6.516.81,565.90,1.280.61,155.89,4.091.36,30.713.81,45.029.48,32.947.17,19.376.59,7.548.17,16.640.11,3.036.13,205.26,244.25,286.51,346.98,713.00,8.900.00,15.00,0.00,0.00,31.884.86,26.794.00,965.521.603.71,910.773.664.48,4.148.606.839.81,1.00,0.00,0.00,0.00,23.569.57,28.374.48
14,Groningen,1,29.793.64,25.791.00,23.468.00,10.630.09,1.651.22,83.115.84,0.00,0.00,4.00,22.736.62,235.743.87,497.65,0.00,0.00,0.00,33.700.05,18.00,5.392.78,8.466.08,12.280.30,518.45,30.028.97,451.049.33,251.545.39,507.215.46,114.738.95,9.098.23,442.022.16,7.587.13,113.70,125.07,966.47,1.054.36,1.276.00,0.00,0.00,112.00,0.00,20.186.80,18.520.00,3.621.703.079.03,3.534.323.917.75,31.908.247.476.97,1.00,0.00,0.00,0.00,131.047.19,142.116.71
1966,Het Hogeland,1,5.423.25,1.523.00,0.00,1.011.54,327.42,7.713.56,0.00,0.00,12.00,5.250.78,48.184.26,1.940.57,0.00,0.00,0.00,8.845.08,41.00,5.436.12,0.00,935.07,89.75,1.746.52,5.714.20,44.405.75,7.303.71,10.384.20,10.808.07,9.717.72,1.113.25,275.69,306.01,316.78,358.27,2.035.00,10.000.00,0.00,0.00,0.00,53.026.92,47.772.00,1.218.790.646.54,1.218.790.646.54,4.766.329.830.22,1.00,0.00,0.00,0.00,23.416.20,26.326.06
1952,Midden-Groningen,1,6.171.65,3.173.00,0.00,1.768.72,549.68,10.170.54,0.00,0.00,9.00,7.176.94,61.103.77,2.325.40,0.00,0.00,0.00,10.556.96,22.00,8.428.12,562.68,1.179.07,173.60,5.527.13,38.751.91,57.735.52,42.484.25,17.607.81,8.420.00,25.520.77,3.630.91,172.05,172.05,394.46,394.80,1.792.00,0.00,0.00,0.00,0.00,27.785.00,27.785.00,821.219.088.40,765.383.441.77,5.927.545.233.20,1.00,0.00,0.00,0.00,29.435.72,29.286.38
1895,Oldambt,1,3.789.43,3.452.00,2.903.00,1.351.68,414.16,7.088.96,0.00,0.00,6.00,5.171.69,38.651.16,1.987.34,0.00,0.00,0.00,6.292.07,22.00,6.586.90,1.225.10,1.437.24,138.17,1.697.01,23.359.80,39.617.09,27.967.37,11.824.20,6.152.76,15.861.05,2.239.61,132.81,144.77,265.33,273.52,1.399.00,5.546.00,10.00,0.00,0.00,24.463.08,22.651.00,515.573.308.48,461.913.076.65,3.766.033.861.71,1.00,0.00,0.00,0.00,19.086.71,19.559.56
765,Pekela,1,959.22,2.102.00,0.00,424.60,169.13,1.915.25,0.00,0.00,1.00,1.739.98,12.237.21,523.79,0.00,0.00,0.00,2.155.67,4.00,2.351.91,0.00,173.16,27.16,412.93,6.337.93,12.384.11,8.440.51,3.538.80,1.459.00,3.131.99,907.42,23.14,23.14,98.87,98.95,118.00,0.00,0.00,0.00,0.00,4.902.00,4.902.00,88.104.299.55,77.227.225.53,947.348.283.61,1.00,0.00,0.00,0.00,5.865.15,5.835.39
37,Stadskanaal,1,3.209.68,3.442.00,0.00,878.45,400.07,5.339.46,0.00,159.88,3.00,4.402.28,31.958.62,2.025.65,0.00,0.00,0.00,5.450.96,13.00,5.621.71,1.302.87,1.548.22,167.70,1.259.85,22.927.21,34.999.46,29.204.78,8.664.51,3.273.00,13.100.36,1.903.14,65.40,65.40,216.90,217.09,219.00,0.00,0.00,0.00,0.00,11.776.00,11.776.00,335.376.448.90,295.493.844.17,3.034.629.077.26,1.00,0.00,0.00,0.00,15.595.67,15.516.54
47,Veendam,1,2.566.69,3.654.00,0.00,884.03,359.95,4.566.28,0.00,0.00,1.00,3.443.45,27.558.80,1.137.18,0.00,0.00,0.00,4.882.63,6.00,4.154.44,953.48,1.469.51,55.51,2.275.32,25.734.01,30.150.44,29.365.74,11.446.98,3.285.00,13.246.77,1.946.74,58.36,58.36,189.66,189.83,272.00,0.00,0.00,0.00,0.00,7.596.00,7.596.00,354.955.182.14,340.089.847.65,2.354.095.597.91,1.00,0.00,0.00,0.00,13.115.62,13.049.07
1969,Westerkwartier,1,7.926.70,0.00,0.00,935.96,367.54,7.954.10,0.00,0.00,11.00,5.178.17,64.523.28,2.070.46,0.00,0.00,0.00,13.158.40,39.00,5.283.69,0.00,1.577.34,87.39,2.133.11,19.003.73,58.681.18,23.078.11,14.620.25,8.313.84,13.699.42,792.44,273.67,298.31,393.45,409.54,626.00,0.00,0.00,0.00,0.00,39.162.96,36.262.00,913.674.217.55,816.505.689.66,7.253.832.830.26,1.00,0.00,0.00,0.00,28.363.19,29.348.05
1950,Westerwolde,1,2.972.51,0.00,0.00,481.78,207.08,3.717.31,0.00,0.00,6.00,2.892.88,26.660.78,1.450.03,0.00,0.00,0.00,4.685.94,29.00,4.174.38,0.00,879.98,63.77,2.257.41,6.921.42,24.868.83,10.925.38,5.742.73,6.072.00,3.589.57,1.969.81,150.92,150.92,176.55,176.70,496.00,0.00,0.00,0.00,0.00,27.569.00,27.569.00,423.480.748.45,368.732.809.23,2.750.165.044.71,1.00,0.00,0.00,0.00,12.507.21,12.443.75
