CBS,Naam,Prov,bedrijven,bewoonde oorden 1930,historische woningen in bewoonde oorden 1930,bijstandsontvangers,doelgroepenregister gemeentelijke doelgroep,éénpersoonshuishoudens,extra groei jongeren,extra groei leerlingen voortgezet onderwijs,grote woonkernen,huishoudens met een laag inkomen met drempel,inwoners,inwoners 75+ met drempel,inwoners waddengemeenten (<2500 inwoners),inwoners waddengemeenten (>7500 inwoners),inwoners waddengemeenten (2500 tot 7500 inwoners),jongeren,kernen,laag opleidingsniveau met drempel,leerlingen (voortgezet) speciaal onderwijs,leerlingen voortgezet onderwijs,loonkostensubsidie,migratieachtergrond,landelijke centrumfunctie,lokale centrumfunctie,regionale centrumfunctie,oeverlengte * bodemfactor gemeente * dichtheidsfactor,oeverlengte*bodemfactor gemeente,omgevingsadressendichtheid,onderwijsachterstand,oppervlak bebouwing buitengebied,oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied,oppervlak bebouwing woonkern,oppervlak bebouwing woonkern ∗ bodemfactor woonkern,oppervlak binnenwater,oppervlak buitenwater,oppervlak historische kern < 40 ha,oppervlak historische kern > 65 ha,oppervlak historische kern 40 tot 65 ha,oppervlak land * bodemfactor gemeente,oppervlak land,ozb niet-woningen eigenaren,ozb niet-woningen gebruikers,ozb woningen eigenaren,vast bedrag,vast bedrag Amsterdam,verkiezingen Den Haag,vast bedrag Rotterdam,woonruimten,woonruimten ∗ bodemfactor woonkern
1979,Eemsdelta,1,3946.57,2847.00,2216.00,1469.76,474.87,8181.20,0.00,0.00,5.00,5636.29,45861.46,2475.28,0.00,0.00,0.00,7868.44,27.00,6516.81,577.64,1321.26,121.64,4002.48,30713.81,45029.48,32947.17,19376.59,7548.17,16377.61,3036.13,205.26,244.25,286.51,346.98,713.00,8900.00,15.00,0.00,0.00,31884.86,26794.00,864750443.44,805887480.09,3362532211.50,1.00,0.00,0.00,0.00,23564.91,28532.52
14,Groningen,1,27406.48,25791.00,23468.00,10604.72,1651.22,81011.62,0.00,0.00,4.00,22736.62,234677.44,497.65,0.00,0.00,0.00,34108.20,18.00,5392.78,8693.04,12216.35,389.72,29376.56,451049.33,251545.39,507215.46,114738.95,9098.23,438096.81,7587.13,113.70,125.07,966.47,1054.36,1276.00,0.00,0.00,112.00,0.00,20186.80,18520.00,3921700340.24,3820741439.46,25289394021.62,1.00,0.00,0.00,0.00,131088.21,141592.12
1966,Het Hogeland,1,5073.26,1523.00,0.00,1009.13,327.42,7661.09,0.00,0.00,12.00,5250.78,48121.99,1940.57,0.00,0.00,0.00,8991.65,41.00,5436.12,0.00,977.43,67.32,1708.57,5714.20,44405.75,7303.71,10384.20,10808.07,9684.47,1113.25,275.69,306.01,316.78,358.27,2035.00,10000.00,0.00,0.00,0.00,53026.92,47772.00,1194518601.41,1194518601.41,3776554480.47,1.00,0.00,0.00,0.00,23392.44,26430.78
1952,Midden-Groningen,1,5694.09,3173.00,0.00,1764.50,549.68,9918.63,0.00,0.00,9.00,7176.94,61091.61,2325.40,0.00,0.00,0.00,10767.50,22.00,8428.12,410.66,1179.50,134.63,5407.05,38751.91,57735.52,42484.25,17607.81,8420.00,25341.11,3630.91,172.05,172.05,394.46,394.80,1792.00,0.00,0.00,0.00,0.00,27785.00,27785.00,827292194.03,785196256.61,4853571869.34,1.00,0.00,0.00,0.00,29432.19,29424.06
1895,Oldambt,1,3503.41,3452.00,2903.00,1348.46,414.16,6902.16,0.00,0.00,6.00,5171.69,38507.45,1987.34,0.00,0.00,0.00,6394.04,22.00,6586.90,1184.01,1484.16,127.54,1660.14,23359.80,39617.09,27967.37,11824.20,6152.76,15885.22,2239.61,132.81,144.77,265.33,273.52,1399.00,5546.00,10.00,0.00,0.00,24463.08,22651.00,549030912.73,511929408.55,2889763539.50,1.00,0.00,0.00,0.00,19115.79,19688.86
765,Pekela,1,921.84,2102.00,0.00,423.59,169.13,1888.20,0.00,0.00,1.00,1739.98,12249.31,523.79,0.00,0.00,0.00,2150.91,4.00,2351.91,0.00,179.35,25.98,403.96,6337.93,12384.11,8440.51,3538.80,1459.00,3134.13,907.42,23.14,23.14,98.87,98.95,118.00,0.00,0.00,0.00,0.00,4902.00,4902.00,91326779.51,78127205.90,746452311.51,1.00,0.00,0.00,0.00,5858.20,5872.85
37,Stadskanaal,1,3048.76,3442.00,0.00,876.35,400.07,5343.84,0.00,119.94,3.00,4402.28,31945.18,2025.65,0.00,0.00,0.00,5515.57,13.00,5621.71,1274.85,1516.27,158.25,1232.48,22927.21,34999.46,29204.78,8664.51,3273.00,13075.76,1903.14,65.40,65.40,216.90,217.09,219.00,0.00,0.00,0.00,0.00,11776.00,11776.00,341048442.21,301449721.41,2456625377.48,1.00,0.00,0.00,0.00,15566.38,15677.83
47,Veendam,1,2386.13,3654.00,0.00,881.92,359.95,4481.70,0.00,0.00,1.00,3443.45,27582.07,1137.18,0.00,0.00,0.00,4967.40,6.00,4154.44,947.39,1466.15,66.13,2225.89,25734.01,30150.44,29365.74,11446.98,3285.00,13231.38,1946.74,58.36,58.36,189.66,189.83,272.00,0.00,0.00,0.00,0.00,7596.00,7596.00,354961506.28,331773066.17,1903663202.93,1.00,0.00,0.00,0.00,13113.36,13124.99
1969,Westerkwartier,1,7345.46,0.00,0.00,933.72,367.54,7871.56,0.00,0.00,11.00,5178.17,64061.38,2070.46,0.00,0.00,0.00,13257.67,38.00,5283.69,0.00,1650.99,75.58,2086.77,19003.73,58681.18,23078.11,14620.25,8313.84,13655.91,792.44,273.67,298.31,393.45,409.54,626.00,0.00,0.00,0.00,0.00,39162.96,36262.00,901138457.15,808741441.95,5793514317.82,1.00,0.00,0.00,0.00,28331.76,29298.31
1950,Westerwolde,1,2778.06,0.00,0.00,480.63,207.08,3703.55,0.00,0.00,6.00,2892.88,26372.83,1450.03,0.00,0.00,0.00,4577.41,29.00,4174.38,0.00,941.41,40.15,2208.37,6921.42,24868.83,10925.38,5742.73,6072.00,3594.48,1969.81,150.92,150.92,176.55,176.70,496.00,0.00,0.00,0.00,0.00,27569.00,27569.00,402051876.96,349253582.56,2113938026.48,1.00,0.00,0.00,0.00,12524.31,12561.52
59,Achtkarspelen,2,3033.09,0.00,0.00,613.41,219.01,3693.43,0.00,0.00,5.00,3110.32,28067.97,739.18,0.00,0.00,0.00,5869.75,13.00,4422.66,0.00,1091.00,56.69,621.39,7665.88,27987.49,11207.07,6520.20,2430.00,5359.29,1414.76,76.47,76.47,194.71,194.87,186.00,0.00,0.00,0.00,0.00,10212.00,10212.00,296812033.39,265061707.70,2264067723.11,1.00,0.00,0.00,0.00,12434.54,12409.51
60,Ameland,2,662.64,0.00,0.00,7.54,27.10,710.35,0.00,0.00,3.00,236.85,3768.55,184.52,2515.05,0.00,1253.50,676.51,4.00,291.62,0.00,131.58,10.63,70.07,70.42,3762.52,694.15,652.70,1043.00,972.59,14.29,10.06,10.06,47.42,47.46,78.00,10000.00,0.00,0.00,0.00,5908.00,5908.00,93545734.85,93545734.85,1051840359.00,1.00,0.00,0.00,0.00,3755.18,3707.14
1891,Dantumadiel,2,1826.96,573.00,0.00,427.19,163.71,2368.86,0.00,0.00,3.00,2186.78,19057.05,842.81,0.00,0.00,0.00,3760.62,8.00,3006.72,857.65,0.00,76.76,467.85,3853.06,18762.28,6478.77,5542.45,2561.00,3879.81,684.96,48.30,48.30,116.02,116.12,297.00,0.00,0.00,0.00,0.00,8456.00,8456.00,183723794.71,151259978.56,1558178404.16,1.00,0.00,0.00,0.00,8489.74,8489.54
1940,De Fryske Marren,2,7151.06,1818.00,0.00,739.96,243.94,7100.50,0.00,0.00,10.00,4427.56,52089.73,2417.94,0.00,0.00,0.00,9962.65,43.00,5797.04,0.00,994.66,72.04,2015.66,16931.33,49506.27,32685.61,17639.46,14246.00,14281.62,1213.29,213.31,213.31,349.06,349.36,6713.00,10000.00,5.00,0.00,0.00,35104.00,35104.00,721695605.23,629298590.03,5772999700.89,1.00,0.00,0.00,0.00,25594.30,25558.82
72,Harlingen,2,1846.82,2541.00,2541.00,510.47,117.09,3023.55,0.00,0.00,1.00,1923.43,15902.17,896.68,0.00,0.00,0.00,2890.10,2.00,2131.66,0.00,960.99,22.44,780.09,10573.28,17021.87,17122.47,8674.27,1422.30,8475.16,680.50,28.17,30.71,95.84,109.35,170.00,10000.00,0.00,0.00,45.00,2743.40,2494.00,290390619.21,277547790.84,1325523998.52,1.00,0.00,0.00,0.00,7980.38,9220.57
74,Heerenveen,2,6257.44,2234.00,1600.00,1303.21,354.53,8398.76,0.00,0.00,5.00,5149.54,50954.94,2200.69,0.00,0.00,0.00,9780.59,23.00,5197.61,955.50,2893.92,103.93,3604.70,42685.45,53480.05,55180.23,24352.49,9428.00,26661.19,1703.94,157.97,157.97,313.75,314.02,835.00,0.00,9.00,0.00,0.00,18982.00,18982.00,867604405.30,837281060.54,5222368732.81,1.00,0.00,0.00,0.00,24437.39,24404.52
